optimisationTechnique,objectiveFunction,score,computationTime,efficiency
AlphaBeta,ttc,373.16666666666663,796.9572779881637,0.4682392356196148
AlphaBeta,ttcwscm,460.6104166666665,875.1961343628584,0.5262939341042568
AlphaBeta,ttv,380.3414634146342,921.9039328513583,0.4125608426881046
AlphaBeta,ttvwscm,416.60144628099164,992.4181380022624,0.41978419209428225
Greedy,ttc,525.25,1803.6525352874637,0.2912146268329262
Greedy,ttcwscm,391.5104166666666,1269.5775832390696,0.3083784889047956
Greedy,ttv,431.2439024390244,1652.9968032262825,0.2608861079448745
Greedy,ttvwscm,249.80785123966936,889.5456974704504,0.28082632736017216
ILP,ttc,189.0,7.27770947064706,25.96970939308409
ILP,ttcwscm,368.8041666666667,18.817865866653552,19.598618104734765
ILP,ttv,191.14634146341464,9.417383891539206,20.297180582724774
ILP,ttvwscm,297.90000000000003,21.39966228954573,13.920780429583303
