gameID,winners
1,Greedy-ttv
2,Greedy-ttc
3,Greedy-ttc
4,Greedy-ttcwscm
5,Greedy-ttc
6,Greedy-ttcwscm
7,Greedy-ttc
8,Greedy-ttvwscm
9,Greedy-ttvwscm
10,Greedy-ttcwscm
11,Greedy-ttcwscm
12,Greedy-ttcwscm
13,Greedy-ttv
14,Greedy-ttv
15,Greedy-ttv
16,Greedy-ttcwscm
17,Greedy-ttcwscm
18,Greedy-ttcwscm
19,Greedy-ttc
20,Greedy-ttc
21,Greedy-ttc
22,Greedy-ttc
23,Greedy-ttc
24,Greedy-ttc
25,Greedy-ttc
26,Greedy-ttc
27,Greedy-ttc
28,Greedy-ttc
29,Greedy-ttc
30,Greedy-ttc
31,AlphaBeta-ttv
32,Greedy-ttv
33,AlphaBeta-ttv
34,Greedy-ttv
35,Greedy-ttv
36,AlphaBeta-ttcwscm
37,Greedy-ttv
38,AlphaBeta-ttvwscm
39,Greedy-ttv
40,Greedy-ttcwscm
41,Greedy-ttcwscm
42,Greedy-ttcwscm
43,AlphaBeta-ttvwscm
44,Greedy-ttcwscm
45,AlphaBeta-ttvwscm
46,Greedy-ttvwscm
47,Greedy-ttvwscm
48,Greedy-ttvwscm
49,AlphaBeta-ttc
50,AlphaBeta-ttv
51,AlphaBeta-ttc
52,AlphaBeta-ttcwscm
53,AlphaBeta-ttcwscm
54,AlphaBeta-ttcwscm
55,AlphaBeta-ttc
56,AlphaBeta-ttc
57,AlphaBeta-ttc
58,AlphaBeta-ttcwscm
59,AlphaBeta-ttcwscm
60,AlphaBeta-ttcwscm
61,AlphaBeta-ttvwscm
62,AlphaBeta-ttvwscm
63,AlphaBeta-ttv
64,AlphaBeta-ttvwscm
65,AlphaBeta-ttvwscm
66,AlphaBeta-ttvwscm
